abc,app1,app2,app3,app4,app5,app6,app7,app8,app9,app10,app11,app12,app13,app14,app15,app16,app17,app18,app19,app20,app21,app22,app23,app24,app25,app26,app27,app28,app29,app30,app31,app32,app33,app34,app35,app36,app37,app38,app39,app40,app41,app42,app43,app44,app45,app46,app47,app48,app49,app50,app51,app52,app53,app54,app55,app56,app57,app58,app59,app60,app61,app62,app63,app64,app65,app66,app67,app68,app69,app70,app71,app72,app73,app74,app75,app76,app77,app78,app79,app80,app81,app82,app83,app84,app85,app86,app87,app88,app89,app90,app91,app92,app93,app94,app95,app96,app97,app98,app99,ap100,app101,ap102,ap103,ap104,ap105,ap106,ap107,ap108,ap109,ap110,ap111,ap112,ap113,ap114,ap115,ap116,ap117,ap118,ap119,ap120,ap121,ap122,ap123,ap124,ap125,ap126,ap127,ap128,ap129,ap130,ap131,ap132,ap133,ap134,ap135,ap136,ap137,ap138,ap139,ap140,ap141,ap142,ap143,ap144,ap145,ap146,ap147,ap148,ap149,ap150,ap151,ap152,ap153,ap154,ap155,ap156,ap157
a,0.044,0.057,0.032,0.031,0.031,0.043,0.034,0.037,0.029,0.078,0.023,0.044,0.039,0.059,0.037,0.046,0.023,0.056,0.2,0.037,0.036,0.05,0.032,0.029,0.034,0.039,0.045,0.022,0.023,0.054,0.022,0.031,0.034,0.033,0.042,0.017,0.027,0.04,0.029,0.019,0.016,0.034,0.021,0.022,0.028,0.019,0.018,0.044,0.039,0.028,0.052,0.039,0.019,0.037,0.02,0.035,0.029,0.03,0.022,0.031,0.056,0.056,0.024,0.038,0.033,0.091,0.062,0.082,0.053,0.042,0.038,0.085,0.076,0.061,0.047,0.022,0.195,0.1,0.037,0.085,0.053,0.042,0.058,0.021,0.029,0.027,0.028,0.037,0.03,0.097,0.034,0.034,0.046,0.028,0.117,0.065,0.028,0.03,0.026,0.037,0.016,0.041,0.047,0.037,0.043,0.03,0.046,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,0.079,0.069,0.03,0.086,0.055,0.049,0.045,0.03,0.059,0.044,0.024,0.033,0.03,0.053,0.069,0.036,0.07,0.027,0.049,0.014,0.036,0.032,0.056,0.041,0.072,0.018,0.062,0.12,0.038,0.081,0.035,0.044,0.08,0.032,0.038,0.067,0.069,0.032,0.029,0.019,0.063,0.046,0.092,0.042,0.062,0.042,0.095,0.088,0.071,0.073,0.042,0.05,0.044,0.039,0.069,0.056,0.088,0.046,0.082,0.035,0.09,0.05,0.036,0.036,0.026,0.065,0.049,0.07,0.057,0.049,0.046,0.062,0.046,0.043,0.041,0.021,0.049,0.049,0.044,0.05,0.042,0.035,0.082,0.036,0.083,0.053,0.05,0.009,0.014,0.023,0.025,0.024,0.049,0.055,0.037,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,0.031,0.031,0.043,0.034,0.037,0.029,0.035,0.078,0.036,0.023,0.039,0.04,0.173,0.111,0.059,0.037,0.046,0.023,0.074,0.056,0.2,0.037,0.036,0.05,0.032,0.029,0.034,0.039,0.045,0.022,0.023,0.054,0.05,0.025,0.071,0.085,0.022,0.087,0.117,0.03,0.035,0.028,0.066,0.051,0.026,0.026,0.055,0.034,0.022,0.077,0.059,0.063,0.031,0.076,0.043,0.016,0.034,0.089,0.121,0.066,0.067,0.132,0.083,0.083,0.033,0.071,0.068,0.066,0.032,0.078,0.025,0.042,0.072,0.05,0.034,0.082,0.042,0.042,0.038,0.032,0.077,0.017,0.1,0.033,0.067,0.084,0.027,0.069,0.043,0.062,0.04,0.162,0.111,0.078,0.098,0.039,0.059,0.029,0.099,0.029,0.054,0.05,0.016,0.043,0.032,0.034,0.021,0.022,0.019,0.018,0.044,0.039,0.028,0.052,0.019,0.037,0.02,0.035,0.029,0.03,0.022,0.029,0.035,0.056,0.024,0.033,0.071,0.033,0.038,0.047,0.022,0.195,0.1,0.085,0.053,0.053,0.042,0.058,0.027,0.03,0.097,0.034,0.034,0.046,0.03,0.037,0.016,0.053,0.032,0.037,0.043,0.03,0.067,,,,
d,0.081,0.043,0.02,0.034,0.09,0.031,0.058,0.058,0.037,0.295,0.2,0.031,0.019,0.041,0.084,0.04,0.25,0.021,0.049,0.022,0.026,0.077,0.056,0.025,0.049,0.029,0.105,0.031,0.03,0.025,0.03,0.08,0.041,0.034,0.022,0.067,0.05,0.037,0.057,0.046,0.044,0.036,0.079,0.046,0.039,0.026,0.025,0.017,0.048,0.043,0.04,0.24,0.109,0.083,0.083,0.04,0.099,0.038,0.017,0.018,0.056,0.03,0.031,0.032,0.07,0.03,0.064,0.024,0.034,0.042,0.021,0.06,0.039,0.03,0.047,0.041,0.047,0.049,0.029,0.035,0.029,0.066,0.027,0.091,0.031,0.071,0.033,0.045,0.024,0.028,0.053,0.032,0.032,0.058,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,0.022,0.036,0.037,0.057,0.074,0.031,0.018,0.176,0.064,0.024,0.038,0.061,0.048,0.047,0.042,0.032,0.018,0.033,0.042,0.057,0.051,0.051,0.048,0.043,0.039,0.038,0.035,0.036,0.03,0.042,0.037,0.028,0.024,0.024,0.036,0.018,0.039,0.064,0.029,0.031,0.041,0.03,0.026,0.033,0.014,0.043,0.042,0.029,0.023,0.037,0.06,0.044,0.025,0.041,0.039,0.088,0.039,0.039,0.033,0.053,0.038,0.059,0.074,0.047,0.028,0.032,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,0.081,0.067,0.044,0.02,0.037,0.034,0.057,0.057,0.09,0.074,0.031,0.031,0.032,0.031,0.031,0.037,0.295,0.176,0.2,0.043,0.034,0.081,0.04,0.037,0.084,0.04,0.029,0.078,0.023,0.039,0.059,0.037,0.046,0.023,0.056,0.2,0.047,0.037,0.036,0.05,0.032,0.029,0.034,0.039,0.045,0.022,0.023,0.054,0.022,0.031,0.034,0.056,0.033,0.042,0.017,0.027,0.04,0.029,0.105,0.1,0.019,0.016,0.034,0.021,0.022,0.028,0.019,0.018,0.044,0.029,0.039,0.041,0.028,0.052,0.039,0.019,0.037,0.02,0.035,0.029,0.03,0.022,0.031,0.056,0.056,0.066,0.024,0.091,0.033,0.042,0.038,0.047,0.022,0.195,0.1,0.085,0.053,0.042,0.058,0.021,0.027,0.028,0.03,0.097,0.034,0.034,0.046,0.028,0.045,0.024,0.128,0.117,0.065,0.028,0.028,0.03,0.03,0.026,0.074,0.037,0.016,0.041,0.032,0.037,0.043,0.058,0.03,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0.031,0.031,0.043,0.034,0.037,0.029,0.078,0.023,0.039,0.059,0.037,0.046,0.023,0.056,0.2,0.2,0.037,0.036,0.05,0.032,0.029,0.024,0.034,0.039,0.045,0.022,0.023,0.054,0.022,0.031,0.034,0.033,0.042,0.017,0.027,0.04,0.029,0.016,0.026,0.034,0.024,0.021,0.017,0.026,0.022,0.019,0.019,0.021,0.018,0.044,0.044,0.044,0.034,0.039,0.028,0.041,0.036,0.052,0.016,0.057,0.023,0.029,0.024,0.033,0.033,0.019,0.037,0.031,0.026,0.02,0.025,0.014,0.031,0.031,0.035,0.031,0.026,0.029,0.026,0.043,0.043,0.03,0.027,0.034,0.022,0.032,0.042,0.056,0.038,0.024,0.033,0.035,0.038,0.047,0.022,0.195,0.1,0.085,0.053,0.042,0.058,0.027,0.048,0.03,0.097,0.034,0.034,0.046,0.03,0.031,0.021,0.037,0.032,0.028,0.016,0.037,0.043,0.038,0.032,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h,0.081,0.02,0.034,0.09,0.031,0.061,0.295,0.2,0.084,0.04,0.07,0.269,0.046,0.056,0.019,0.042,0.044,0.031,0.062,0.032,0.105,0.039,0.029,0.066,0.091,0.021,0.02,0.034,0.128,0.067,0.024,0.041,0.028,0.048,0.049,0.056,0.032,0.04,0.045,0.024,0.028,0.037,0.05,0.024,0.032,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,0.021,0.043,0.032,0.025,0.031,0.031,0.043,0.034,0.031,0.117,0.04,0.037,0.039,0.029,0.078,0.047,0.028,0.05,0.023,0.02,0.062,0.051,0.05,0.046,0.213,0.111,0.039,0.077,0.032,0.054,0.06,0.051,0.18,0.111,0.044,0.032,0.042,0.034,0.053,0.024,0.024,0.052,0.052,0.035,0.022,0.025,0.059,0.059,0.037,0.037,0.046,0.023,0.05,0.05,0.07,0.057,0.167,0.083,0.074,0.061,0.031,0.167,0.056,0.056,0.062,0.026,0.042,0.03,0.2,0.2,0.072,0.037,0.036,0.08,0.038,0.038,0.096,0.048,0.05,0.134,0.053,0.089,0.063,0.043,0.078,0.067,0.059,0.032,0.029,0.034,0.039,0.045,0.022,0.023,0.037,0.054,0.022,0.031,0.034,0.033,0.042,0.017,0.033,0.027,0.04,0.029,0.016,0.034,0.021,0.022,0.019,0.018,0.044,0.039,0.028,0.052,0.019,0.037,0.02,0.035,0.029,0.03,0.022,0.087,0.052,0.056,0.077,0.024,0.033,0.091,0.03,0.038,0.045,0.022,0.047,0.022,0.195,0.1,0.085,0.053,0.042,0.058,0.027,0.03,0.097,0.034,0.034,0.046,0.03,0.037,0.016,0.037,0.043,0.03,0.03,0.096,0.032
j,0.021,0.044,0.019,0.026,0.045,0.034,0.057,0.043,0.032,0.025,0.079,0.031,0.054,0.031,0.052,0.027,0.037,0.044,0.031,0.021,0.117,0.04,0.069,0.039,0.087,0.031,0.05,0.059,0.25,0.05,0.046,0.152,0.111,0.053,0.024,0.05,0.07,0.031,0.167,0.076,0.056,0.03,0.2,0.048,0.089,0.043,0.043,0.067,0.037,0.033,0.06,0.053,0.041,0.028,0.039,0.087,0.052,0.077,0.091,0.03,0.117,0.065,0.028,0.026,0.096,0.032,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
